Tick,Quality,type,Task
586.3,5.248116876605256,Order348-1,Task 296
587.3,2.539791654815101,Order348-2,Task 297
590.3,3.1480155026248497,Order348-10,Task 305
592.3,-1.4914149247282484,Order348-6,Task 301
595.3,4.765639177209745,Order348-3,Task 298
599.3,11.440119785662713,Order353-9,Task 314
599.3,4.916077133378857,Order353-3,Task 308
600.3,0.5465400797914426,Order353-5,Task 310
601.3,3.948112559509677,Order353-2,Task 307
605.3,9.484341442212088,Order353-1,Task 306
608.3,5.295519102584186,Order353-6,Task 311
612.3,3.9922461809713985,Order346-8,Task 323
614.3,2.92040015625344,Order353-10,Task 315
615.3,2.780518529659062,Order346-4,Task 319
617.3,2.8113415817835605,Order346-10,Task 325
617.3,1.5361241497860512,Order353-4,Task 309
621.3,4.376523324104987,Order353-7,Task 312
621.3,2.1712129727539695,Order346-7,Task 322
622.3,4.5834731206171995,Order346-5,Task 320
623.3,0.8267946624226408,Order346-2,Task 317
628.3,0.6576352738689852,Order346-3,Task 318
628.3,22.849529303648673,Order353-8,Task 313
629.3,6.494985697594915,Order346-6,Task 321
630.3,3.527151678059061,Order346-9,Task 324
631.0,17.607784855589657,Order351-2,Task 545
631.3,4.850332896734569,Order350-2,Task 327
631.3,4.339336995034007,Order346-1,Task 316
632.3,20.712744574167758,Order350-7,Task 332
632.3,0.3558417508156322,Order350-8,Task 333
633.0,10.817664735905124,Order346-7,Task 560
633.3,16.13719355883147,Order351-9,Task 552
635.3,3.073847875422489,Order350-1,Task 326
638.3,-0.44931900304213146,Order350-6,Task 331
638.3,4.400519631428396,Order350-5,Task 330
639.3,2.876950120329496,Order350-4,Task 329
639.3,5.0751512001412316,Order350-9,Task 334
641.3,1.5234815624489522,Order346-1,Task 335
641.3,2.867950322915602,Order346-9,Task 343
643.3,6.493152389297966,Order346-5,Task 339
644.3,1.2463705321188,Order346-10,Task 344
645.3,1.2568541734439167,Order346-4,Task 338
646.3,1.132240232419809,Order346-7,Task 341
646.3,5.86332100047762,Order346-6,Task 340
647.3,1.8375233233055832,Order350-3,Task 328
649.3,1.5527827138225003,Order350-1,Task 345
649.3,20.98377969742623,Order350-7,Task 351
651.3,3.6372862767304888,Order346-3,Task 337
653.3,2.024441622761778,Order350-2,Task 346
655.3,-2.4535621752846772,Order350-4,Task 348
655.3,-4.341195499804319,Order346-8,Task 342
659.3,-0.9567220493711224,Order350-6,Task 350
